GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Shanxi-EP_Coal_300_DRY-ep-240,2014,330,1
Shanxi-EP_Coal_300_DRY-ep-241,2014,330,1
Shanxi-EP_Coal_300_DRY-ep-242,2011,330,1
Shanxi-EP_Coal_300_DRY-ep-243,2011,330,1
Shanxi-EP_Coal_300_DRY-ep-244,2014,330,1
Shanxi-EP_Coal_300_DRY-ep-245,2014,330,1
Shanxi-EP_Coal_300_DRY-ep-246,2010,330,1
Shanxi-EP_Coal_300_DRY-ep-247,2009,330,1
Shanxi-EP_Coal_300_DRY-ep-248,2012,300,1
Shanxi-EP_Coal_300_DRY-ep-249,2012,300,1
Shanxi-EP_Coal_300_DRY-ep-250,2009,300,1
Shanxi-EP_Coal_300_DRY-ep-251,2009,300,1
Shanxi-EP_Coal_300_DRY-ep-252,2009,300,1
Shanxi-EP_Coal_300_DRY-ep-253,2009,300,1
Shanxi-EP_Coal_300_RC-ep-254,1999,300,1
Shanxi-EP_Coal_300_RC-ep-255,1998,300,1
Shanxi-EP_Coal_300_RC-ep-256,1997,300,1
Shanxi-EP_Coal_300_RC-ep-257,1996,300,1
Shanxi-EP_Coal_300_DRY-ep-258,2004,300,1
Shanxi-EP_Coal_300_DRY-ep-259,2004,300,1
Shanxi-EP_Coal_300_DRY-ep-260,2004,300,1
Shanxi-EP_Coal_300_DRY-ep-261,2004,300,1
Shanxi-EP_Coal_300_DRY-ep-262,2012,300,1
Shanxi-EP_Coal_300_DRY-ep-263,2012,300,1
Shanxi-EP_Coal_300_DRY-ep-264,2005,300,1
Shanxi-EP_Coal_300_DRY-ep-265,2005,300,1
Shanxi-EP_Coal_300_DRY-ep-266,2012,300,1
Shanxi-EP_Coal_300_DRY-ep-267,2011,300,1
Shanxi-EP_Coal_300_RC-ep-268,1999,300,1
Shanxi-EP_Coal_300_RC-ep-269,1998,300,1
Shanxi-EP_Coal_300_DRY-ep-270,2007,300,1
Shanxi-EP_Coal_300_DRY-ep-271,2006,300,1
Shanxi-EP_Coal_300_DRY-ep-272,2011,300,1
Shanxi-EP_Coal_300_DRY-ep-273,2010,300,1
Shanxi-EP_Coal_300_DRY-ep-274,2015,300,1
Shanxi-EP_Coal_300_DRY-ep-275,2015,300,1
Shanxi-EP_Coal_300_DRY-ep-276,2015,300,1
Shanxi-EP_Coal_300_DRY-ep-277,2012,300,1
Shanxi-EP_Coal_300_DRY-ep-278,2011,300,1
Shanxi-EP_Coal_300_DRY-ep-279,2010,300,1
Shanxi-EP_Coal_300_DRY-ep-280,2010,300,1
Shanxi-EP_Coal_300_DRY-ep-281,2005,300,1
Shanxi-EP_Coal_300_DRY-ep-282,2005,300,1
Shanxi-EP_Coal_300_DRY-ep-283,2006,300,1
Shanxi-EP_Coal_300_DRY-ep-284,2006,300,1
Shanxi-EP_Coal_300_DRY-ep-285,2005,300,1
Shanxi-EP_Coal_300_DRY-ep-286,2005,300,1
Shanxi-EP_Coal_300_DRY-ep-287,2014,300,1
Shanxi-EP_Coal_300_DRY-ep-288,2014,300,1
Shanxi-EP_Coal_300_DRY-ep-289,2013,300,1
Shanxi-EP_Coal_300_DRY-ep-290,2010,300,1
Shanxi-EP_Coal_300_OT-ep-291,1992,300,1
Shanxi-EP_Coal_300_OT-ep-292,1991,300,1
Shanxi-EP_Coal_300_DRY-ep-293,2011,300,1
Shanxi-EP_Coal_300_DRY-ep-294,2011,300,1
Shanxi-Coal_Small_DRY-ep-295,1990,250,1
Shanxi-Coal_100_DRY-ep-296,2003,220,1
Shanxi-Coal_100_DRY-ep-297,2003,220,1
Shanxi-Coal_100_OT-ep-298,1991,210,1
Shanxi-Coal_100_OT-ep-299,1990,210,1
Shanxi-Coal_100_OT-ep-300,1990,210,1
Shanxi-Coal_100_OT-ep-301,1989,210,1
Shanxi-Coal_100_DRY-ep-302,1988,200,1
Shanxi-Coal_100_DRY-ep-303,1987,200,1
Shanxi-Coal_100_RC-ep-304,1986,200,1
Shanxi-Coal_100_RC-ep-305,1985,200,1
Shanxi-Coal_100_RC-ep-306,1984,200,1
Shanxi-Coal_100_RC-ep-307,1984,200,1
Shanxi-Coal_100_DRY-ep-308,2011,200,1
Shanxi-Coal_100_DRY-ep-309,2011,200,1
Shanxi-Coal_100_DRY-ep-310,2003,200,1
Shanxi-Coal_100_DRY-ep-311,1994,200,1
Shanxi-Coal_100_DRY-ep-312,1993,200,1
Shanxi-Coal_100_RC-ep-313,2008,200,1
Shanxi-Coal_100_RC-ep-314,2008,200,1
Shanxi-Coal_100_DRY-ep-315,2012,200,1
Shanxi-Coal_100_DRY-ep-316,2012,200,1
Shanxi-Coal_100_DRY-ep-317,2007,150,1
Shanxi-Coal_100_DRY-ep-318,2007,150,1
Shanxi-Coal_100_DRY-ep-319,2010,135,1
Shanxi-Coal_100_DRY-ep-320,2010,135,1
Shanxi-Coal_100_DRY-ep-321,2006,135,1
Shanxi-Coal_100_DRY-ep-322,2006,135,1
Shanxi-Coal_100_DRY-ep-323,2009,135,1
Shanxi-Coal_100_DRY-ep-324,2009,135,1
Shanxi-Coal_100_DRY-ep-325,2008,135,1
Shanxi-Coal_100_DRY-ep-326,2008,135,1
Shanxi-Coal_100_DRY-ep-327,2008,135,1
Shanxi-Coal_100_DRY-ep-328,2008,135,1
Shanxi-Coal_100_DRY-ep-329,2008,135,1
Shanxi-Coal_100_DRY-ep-330,2008,135,1
Shanxi-Coal_100_DRY-ep-331,2007,135,1
Shanxi-Coal_100_DRY-ep-332,2007,135,1
Shanxi-Coal_100_DRY-ep-333,2006,135,1
Shanxi-Coal_100_DRY-ep-334,2005,135,1
Shanxi-Coal_100_DRY-ep-335,2005,135,1
Shanxi-Coal_100_DRY-ep-336,2006,135,1
Shanxi-Coal_100_DRY-ep-337,2006,135,1
Shanxi-Coal_100_DRY-ep-338,2012,135,1
Shanxi-Coal_100_DRY-ep-339,2012,135,1
Shanxi-EP_Gas_CCGT_RC-ep-340,1990,126,1
Shanxi-Coal_Small_DRY-ep-342,1990,120,1
Shanxi-Coal_Small_DRY-ep-343,1990,110,1
Shanxi-Coal_100_RC-ep-344,2000,100,1
Shanxi-Coal_100_RC-ep-345,2000,100,1
Shanxi-Coal_100_RC-ep-346,1996,100,1
Shanxi-Coal_100_RC-ep-347,1995,100,1
Shanxi-Coal_100_DRY-ep-348,2015,100,1
Shanxi-Coal_Small_RC-ep-349,1990,97,1
Shanxi-Coal_Small_RC-ep-350,1990,81,1
West_Inner_Mongolia-Coal_Small_RC-ep-353,1990,1022.5,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-354,2014,660,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-355,2014,660,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-356,2011,660,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-357,2011,660,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-358,2013,660,1
West_Inner_Mongolia-EP_Coal_600_DRY-ep-359,2012,660,1
East_Inner_Mongolia-EP_Coal_600_RC-ep-360,2007,600,1
East_Inner_Mongolia-EP_Coal_600_RC-ep-361,2007,600,1
East_Inner_Mongolia-EP_Coal_600_DRY-ep-362,2010,600,1
East_Inner_Mongolia-EP_Coal_600_DRY-ep-363,2010,600,1
East_Inner_Mongolia-EP_Coal_600_DRY-ep-364,2010,600,1
East_Inner_Mongolia-EP_Coal_600_DRY-ep-365,2011,600,1
East_Inner_Mongolia-EP_Coal_600_DRY-ep-366,2012,600,1
East_Inner_Mongolia-EP_Coal_600_DRY-ep-367,2011,600,1
