GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Beijing-Coal_100_OT-ep-20,1.0,9.13
Beijing-Coal_100_RC-ep-11,0.4,9.7395
Beijing-Coal_100_RC-ep-11,1.0,9.06
Beijing-Coal_100_RC-ep-12,0.4,9.7395
Beijing-Coal_100_RC-ep-12,1.0,9.06
Beijing-Coal_100_RC-ep-13,0.4,9.7395
Beijing-Coal_100_RC-ep-13,1.0,9.06
Beijing-Coal_100_RC-ep-14,0.4,9.7395
Beijing-Coal_100_RC-ep-14,1.0,9.06
Beijing-Coal_100_RC-ep-15,0.4,9.7395
Beijing-Coal_100_RC-ep-15,1.0,9.06
Beijing-Coal_100_RC-ep-16,0.4,9.7395
Beijing-Coal_100_RC-ep-16,1.0,9.06
Beijing-Coal_100_RC-ep-21,0.4,9.7395
Beijing-Coal_100_RC-ep-21,1.0,9.06
Beijing-Coal_100_RC-ep-22,0.4,9.7395
Beijing-Coal_100_RC-ep-22,1.0,9.06
Beijing-EP_Gas_CCGT_RC-ep-1,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-1,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-10,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-10,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-17,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-17,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-18,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-18,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-2,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-2,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-23,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-23,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-24,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-24,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-25,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-25,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-3,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-3,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-3001,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-3001,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-4,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-4,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-5,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-5,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-6,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-6,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-7,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-7,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-8,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-8,1.0,6.86
Beijing-EP_Gas_CCGT_RC-ep-9,0.45,9.42564
Beijing-EP_Gas_CCGT_RC-ep-9,1.0,6.86
Beijing-Gas_CCGT_RC-11235,0.45,9.64548
Beijing-Gas_CCGT_RC-11235,1.0,7.02
Beijing-Gas_Combustion_Turbine_RC-13192,0.4,11.03368
Beijing-Gas_Combustion_Turbine_RC-13192,1.0,9.76
Chongqing-Coal_1000_OT-12669,0.4,8.471
Chongqing-Coal_1000_OT-12669,1.0,7.88
Chongqing-Coal_1000_RC-12659,0.4,8.471
Chongqing-Coal_1000_RC-12659,1.0,7.88
Chongqing-Coal_1000_RC-12677,0.4,8.471
Chongqing-Coal_1000_RC-12677,1.0,7.88
Chongqing-Coal_100_OT-ep-2091,0.4,9.81475
Chongqing-Coal_100_OT-ep-2091,1.0,9.13
Chongqing-Coal_100_OT-ep-2092,0.4,9.81475
Chongqing-Coal_100_OT-ep-2092,1.0,9.13
Chongqing-Coal_100_RC-ep-2094,0.4,9.7395
Chongqing-Coal_100_RC-ep-2094,1.0,9.06
Chongqing-Coal_100_RC-ep-2095,0.4,9.7395
Chongqing-Coal_100_RC-ep-2095,1.0,9.06
Chongqing-Coal_100_RC-ep-2096,0.4,9.7395
